time,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
7.13,8,20,5,-24
7.14,-13,-40,-35,17
7.15,-9,-66,-63,27
7.16,-6,-78,-80,31
7.17,-6,-81,-82,33
7.18,-4,-96,-99,40
7.19,5,-97,-107,36
7.2,11,-104,-122,36
7.21,11,-99,-116,34
7.22,7,-102,-115,37
7.23,-8,-73,-71,30
7.24,49,-30,-86,-20
7.25,339,276,-67,-319
7.26,592,684,84,-650
7.27,380,206,-183,-303
7.28,2,-392,-402,186
7.29,-74,-453,-385,254
7.3,-3,-415,-416,199
7.31,26,-290,-321,122
7.32,29,-204,-239,77
7.33,25,-185,-215,70
7.34,33,-181,-221,64
7.35,41,-168,-214,53
7.36,48,-172,-226,52
7.37,57,-171,-234,47
7.38,66,-175,-246,45
7.39,71,-172,-249,41
7.4,71,-177,-254,42
7.41,85,-172,-263,33
7.42,92,-170,-269,29
7.43,85,-175,-265,34
7.44,92,-176,-273,32
7.45,106,-171,-282,22
7.46,120,-153,-279,6
7.47,133,-134,-272,-10
7.48,152,-111,-269,-31
7.49,180,-93,-278,-54
7.5,209,-64,-279,-83
7.51,234,-27,-265,-114
7.52,251,-1,-257,-135
7.53,264,14,-256,-150
7.54,275,12,-268,-153
7.55,275,1,-280,-148
7.56,254,-22,-281,-126
7.57,217,-71,-293,-83
7.58,166,-138,-310,-24
7.59,108,-218,-332,45
7.6,70,-290,-365,100
7.61,39,-371,-414,156
7.62,14,-438,-457,202
7.63,2,-433,-440,205
7.64,2,-448,-455,213
7.65,6,-485,-496,230
7.66,3,-500,-506,239
7.67,3,-512,-519,245
7.68,15,-507,-527,236
7.69,23,-509,-537,233
7.7,24,-524,-552,241
7.71,31,-528,-564,239
7.72,37,-515,-558,229
7.73,35,-519,-559,232
7.74,41,-522,-567,230
7.75,51,-524,-579,227
7.76,52,-529,-585,229
7.77,48,-530,-582,232
7.78,50,-536,-590,234
7.79,60,-530,-594,225
7.8,59,-538,-601,230
7.81,55,-557,-616,242
7.82,58,-575,-638,249
7.83,63,-596,-663,257
7.84,61,-604,-670,262
7.85,55,-607,-665,266
7.86,57,-616,-678,270
7.87,62,-629,-695,274
7.88,63,-618,-686,268
7.89,68,-620,-691,266
7.9,68,-643,-715,278
7.91,61,-660,-725,290
7.92,61,-676,-742,298
7.93,66,-674,-744,295
7.94,64,-661,-729,289
7.95,63,-684,-751,301
7.96,69,-705,-777,309
7.97,68,-678,-748,295
7.98,62,-675,-740,297
